TLC2 Version 2.05 of 18 May 2012
Running in Model-Checking mode.
Parsing file l10_n10.tla
Parsing file GridPerformanceTest.tla
Parsing file /mnt/tlc/3133/tla/tla2sany/StandardModules/TLC.tla
Parsing file /mnt/tlc/3133/tla/tla2sany/StandardModules/Integers.tla
Parsing file /mnt/tlc/3133/tla/tla2sany/StandardModules/FiniteSets.tla
Parsing file /mnt/tlc/3133/tla/tla2sany/StandardModules/Naturals.tla
Parsing file /mnt/tlc/3133/tla/tla2sany/StandardModules/Sequences.tla
Semantic processing of module Naturals
Semantic processing of module Integers
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module GridPerformanceTest
Semantic processing of module TLC
Semantic processing of module l10_n10
Starting... (2012-08-17 18:56:51)
Computing initial states...
Finished computing initial states: 1 distinct state generated.
Progress(8) at 2012-08-17 18:56:59: 108140 states generated (108,137 s/min), 28249 distinct states found (28,249 ds/min), 17427 states left on queue.
Progress(12) at 2012-08-17 18:57:59: 2859036 states generated (2,750,896 s/min), 552520 distinct states found (524,271 ds/min), 266608 states left on queue.
Progress(14) at 2012-08-17 18:58:59: 5587299 states generated (2,728,262 s/min), 1026576 distinct states found (474,056 ds/min), 467836 states left on queue.
Progress(14) at 2012-08-17 18:59:59: 8284411 states generated (2,697,114 s/min), 1479429 distinct states found (452,853 ds/min), 650979 states left on queue.
Progress(16) at 2012-08-17 19:00:59: 10548045 states generated (2,263,632 s/min), 1850117 distinct states found (370,688 ds/min), 795302 states left on queue.
Progress(16) at 2012-08-17 19:01:59: 13226802 states generated (2,678,758 s/min), 2277146 distinct states found (427,029 ds/min), 954459 states left on queue.
Progress(16) at 2012-08-17 19:02:59: 15893604 states generated (2,666,801 s/min), 2702717 distinct states found (425,571 ds/min), 1113349 states left on queue.
Progress(17) at 2012-08-17 19:03:59: 18539159 states generated (2,645,554 s/min), 3127022 distinct states found (424,305 ds/min), 1273097 states left on queue.
Progress(17) at 2012-08-17 19:04:59: 21179692 states generated (2,640,535 s/min), 3538237 distinct states found (411,215 ds/min), 1420259 states left on queue.
Progress(18) at 2012-08-17 19:05:59: 23421225 states generated (2,241,532 s/min), 3877328 distinct states found (339,091 ds/min), 1535197 states left on queue.
Progress(18) at 2012-08-17 19:06:59: 26007153 states generated (2,585,926 s/min), 4277987 distinct states found (400,659 ds/min), 1677263 states left on queue.
Progress(19) at 2012-08-17 19:07:59: 28728804 states generated (2,721,652 s/min), 4711186 distinct states found (433,199 ds/min), 1838296 states left on queue.
Progress(19) at 2012-08-17 19:08:59: 31445516 states generated (2,716,714 s/min), 5117434 distinct states found (406,248 ds/min), 1972874 states left on queue.
Progress(19) at 2012-08-17 19:09:59: 34154489 states generated (2,708,973 s/min), 5528600 distinct states found (411,166 ds/min), 2113142 states left on queue.
Progress(19) at 2012-08-17 19:10:59: 36463911 states generated (2,309,421 s/min), 5862169 distinct states found (333,569 ds/min), 2215769 states left on queue.
Progress(19) at 2012-08-17 19:11:59: 39144735 states generated (2,680,825 s/min), 6266721 distinct states found (404,552 ds/min), 2352239 states left on queue.
Progress(19) at 2012-08-17 19:12:59: 41811090 states generated (2,666,356 s/min), 6670330 distinct states found (403,609 ds/min), 2489211 states left on queue.
Progress(19) at 2012-08-17 19:13:59: 44472527 states generated (2,661,434 s/min), 7046931 distinct states found (376,601 ds/min), 2599668 states left on queue.
Progress(20) at 2012-08-17 19:14:59: 47129105 states generated (2,656,577 s/min), 7473559 distinct states found (426,628 ds/min), 2760639 states left on queue.
Progress(20) at 2012-08-17 19:15:59: 49372235 states generated (2,243,133 s/min), 7792607 distinct states found (319,048 ds/min), 2855375 states left on queue.
Progress(20) at 2012-08-17 19:16:59: 52042860 states generated (2,670,626 s/min), 8186525 distinct states found (393,918 ds/min), 2982230 states left on queue.
Progress(20) at 2012-08-17 19:17:59: 54768622 states generated (2,725,760 s/min), 8585614 distinct states found (399,089 ds/min), 3108744 states left on queue.
Progress(20) at 2012-08-17 19:18:59: 57486934 states generated (2,718,312 s/min), 8969868 distinct states found (384,254 ds/min), 3221167 states left on queue.
Progress(20) at 2012-08-17 19:19:59: 60191243 states generated (2,704,307 s/min), 9352595 distinct states found (382,727 ds/min), 3333461 states left on queue.
Progress(20) at 2012-08-17 19:20:59: 62494908 states generated (2,303,668 s/min), 9695697 distinct states found (343,102 ds/min), 3446195 states left on queue.
Progress(20) at 2012-08-17 19:21:59: 65178538 states generated (2,683,626 s/min), 10092982 distinct states found (397,285 ds/min), 3575122 states left on queue.
Progress(20) at 2012-08-17 19:22:59: 67855677 states generated (2,677,142 s/min), 10463751 distinct states found (370,769 ds/min), 3678174 states left on queue.
Progress(20) at 2012-08-17 19:23:59: 70531930 states generated (2,676,251 s/min), 10837111 distinct states found (373,360 ds/min), 3783910 states left on queue.
Progress(21) at 2012-08-17 19:24:59: 73192982 states generated (2,661,052 s/min), 11255233 distinct states found (418,122 ds/min), 3935926 states left on queue.
Progress(21) at 2012-08-17 19:25:59: 75397447 states generated (2,204,469 s/min), 11587202 distinct states found (331,969 ds/min), 4047447 states left on queue.
Progress(21) at 2012-08-17 19:26:59: 78134364 states generated (2,736,913 s/min), 11960864 distinct states found (373,662 ds/min), 4147420 states left on queue.
Progress(21) at 2012-08-17 19:27:59: 80840353 states generated (2,705,989 s/min), 12351085 distinct states found (390,221 ds/min), 4267043 states left on queue.
Progress(21) at 2012-08-17 19:28:59: 83559654 states generated (2,719,304 s/min), 12727704 distinct states found (376,619 ds/min), 4371730 states left on queue.
Progress(21) at 2012-08-17 19:29:59: 86249798 states generated (2,690,141 s/min), 13118894 distinct states found (391,190 ds/min), 4493904 states left on queue.
Progress(21) at 2012-08-17 19:30:59: 88539073 states generated (2,289,276 s/min), 13433459 distinct states found (314,565 ds/min), 4579544 states left on queue.
Progress(21) at 2012-08-17 19:31:59: 91220994 states generated (2,681,922 s/min), 13793485 distinct states found (360,026 ds/min), 4671376 states left on queue.
Progress(21) at 2012-08-17 19:32:59: 93895661 states generated (2,674,665 s/min), 14167250 distinct states found (373,765 ds/min), 4777677 states left on queue.
Progress(21) at 2012-08-17 19:33:59: 96566258 states generated (2,670,598 s/min), 14550691 distinct states found (383,441 ds/min), 4894058 states left on queue.
Progress(21) at 2012-08-17 19:34:59: 99216076 states generated (2,649,819 s/min), 14928823 distinct states found (378,132 ds/min), 5007208 states left on queue.
Progress(21) at 2012-08-17 19:35:59: 101468675 states generated (2,252,600 s/min), 15261465 distinct states found (332,642 ds/min), 5114589 states left on queue.
Progress(21) at 2012-08-17 19:36:59: 104169767 states generated (2,701,091 s/min), 15620328 distinct states found (358,863 ds/min), 5203342 states left on queue.
Progress(21) at 2012-08-17 19:37:59: 106895766 states generated (2,725,999 s/min), 15993000 distinct states found (372,672 ds/min), 5303416 states left on queue.
Progress(22) at 2012-08-17 19:38:59: 109605499 states generated (2,709,729 s/min), 16381509 distinct states found (388,509 ds/min), 5420950 states left on queue.
Progress(22) at 2012-08-17 19:39:59: 112306573 states generated (2,701,077 s/min), 16784232 distinct states found (402,723 ds/min), 5553567 states left on queue.
Progress(22) at 2012-08-17 19:40:59: 114607465 states generated (2,300,893 s/min), 17126910 distinct states found (342,678 ds/min), 5666153 states left on queue.
Progress(22) at 2012-08-17 19:41:59: 117292434 states generated (2,684,969 s/min), 17498406 distinct states found (371,496 ds/min), 5769154 states left on queue.
Progress(22) at 2012-08-17 19:42:59: 119944425 states generated (2,651,990 s/min), 17842908 distinct states found (344,502 ds/min), 5848457 states left on queue.
Progress(22) at 2012-08-17 19:43:59: 122616153 states generated (2,671,728 s/min), 18220842 distinct states found (377,934 ds/min), 5959219 states left on queue.
Progress(22) at 2012-08-17 19:44:59: 125257159 states generated (2,641,007 s/min), 18586005 distinct states found (365,163 ds/min), 6060281 states left on queue.
Progress(22) at 2012-08-17 19:45:59: 127491059 states generated (2,233,898 s/min), 18885575 distinct states found (299,570 ds/min), 6136461 states left on queue.
Progress(22) at 2012-08-17 19:46:59: 130217200 states generated (2,726,142 s/min), 19271995 distinct states found (386,420 ds/min), 6250266 states left on queue.
Progress(22) at 2012-08-17 19:47:59: 132926557 states generated (2,709,360 s/min), 19639231 distinct states found (367,236 ds/min), 6346569 states left on queue.
Progress(22) at 2012-08-17 19:48:59: 135628724 states generated (2,702,164 s/min), 19990784 distinct states found (351,553 ds/min), 6427902 states left on queue.
Progress(22) at 2012-08-17 19:49:59: 138319870 states generated (2,691,145 s/min), 20336346 distinct states found (345,562 ds/min), 6504347 states left on queue.
Progress(22) at 2012-08-17 19:50:59: 140624685 states generated (2,304,817 s/min), 20655848 distinct states found (319,502 ds/min), 6593371 states left on queue.
Progress(22) at 2012-08-17 19:51:59: 143312085 states generated (2,687,403 s/min), 21021723 distinct states found (365,875 ds/min), 6690502 states left on queue.
